Serial,Bin,X,Y,X_old,Y_old,VTH,GET VTH <1.5V,GET VTH >6V,VFSD,BVDSS_2,BVDSS_1,BVDSS bin2,Delta3,IPD_10V,IDSS1,IDSS2,IDSS3,Wafer_ID
89,2,7,3,89,0,2.283,2.2,2.283,0.4991,21.532,21.258,21.252,0.274,31.85,0.029,0.026,0.029,15
90,2,7,2,90,0,0.006,0,0.006,0.5029,21.639,21.205,21.202,0.434,49.998,0.001,0.003,0.006,15
91,2,7,1,91,0,2.257,2.2,2.257,0.5003,21.461,21.127,21.126,0.334,32.058,0.035,0.047,0.064,15
92,2,8,13,92,0,2.644,2.6,2.644,0.5121,22.35,22.022,22.013,0.328,28.623,0.036,0.032,0.036,15
93,2,8,12,93,0,2.616,2.6,2.616,0.5226,22.508,21.946,21.939,0.562,28.218,0.055,0.067,0.088,15
94,2,8,11,94,0,2.559,2.5,2.559,0.5147,22.284,21.847,21.841,0.437,27.946,0.039,0.035,0.039,15
95,2,8,10,95,0,2.565,2.5,2.565,0.5185,22.259,21.808,21.804,0.451,28.246,0.042,0.047,0.058,15
96,2,8,9,96,0,2.539,2.5,2.539,0.5068,21.874,21.548,21.543,0.326,28.413,0.039,0.036,0.041,15
97,2,8,8,97,0,2.564,2.5,2.564,0.5114,21.963,21.535,21.529,0.428,28.622,0.039,0.035,0.039,15
98,2,8,7,98,0,2.52,2.5,2.52,0.5065,21.902,21.565,21.565,0.337,28.982,0.038,0.033,0.038,15
99,2,8,6,99,0,2.542,2.5,2.542,0.5313,22.151,21.556,21.552,0.595,28.492,0.041,0.035,0.041,15
100,2,8,5,100,0,2.508,2.5,2.508,0.5104,21.989,21.555,21.552,0.434,28.263,0.039,0.036,0.041,15
101,2,8,4,101,0,2.556,2.5,2.556,0.5052,21.87,21.619,21.613,0.251,28.686,0.038,0.035,0.038,15
102,2,8,3,102,0,2.6,2.6,2.6,0.5075,22.007,21.742,21.738,0.265,29.331,0.035,0.03,0.035,15
103,2,8,2,103,0,2.523,2.5,2.523,0.5055,21.652,21.381,21.376,0.271,29.508,0.046,0.058,0.078,15
104,2,8,1,104,0,2.547,2.5,2.547,0.5065,21.748,21.46,21.454,0.288,29.873,0.036,0.032,0.035,15
105,2,9,13,105,0,2.47,2.4,2.47,0.5137,21.955,21.452,21.45,0.503,31.101,0.029,0.027,0.032,15
106,2,9,12,106,0,2.543,2.5,2.543,0.5167,21.986,21.517,21.506,0.469,31.995,0.027,0.024,0.027,15
107,2,9,11,107,0,2.542,2.5,2.542,0.5168,21.739,21.257,21.247,0.482,32.09,0.029,0.026,0.03,15
108,2,9,10,108,0,2.371,2.3,2.371,0.5134,21.834,21.251,21.25,0.583,31.596,0.049,0.095,0.161,15
109,2,9,9,109,0,2.5,2.5,2.5,0.5207,21.906,21.361,21.357,0.545,31.61,0.029,0.027,0.03,15
110,2,9,8,110,0,2.338,2.3,2.338,0.5102,21.702,21.263,21.266,0.439,31.509,0.03,0.029,0.032,15
111,2,9,7,111,0,2.545,2.5,2.545,0.5128,21.589,21.237,21.233,0.352,31.712,0.029,0.027,0.032,15
112,2,9,6,112,0,2.546,2.5,2.546,0.5177,21.582,21.146,21.141,0.436,31.793,0.03,0.027,0.032,15
113,2,9,5,113,0,2.515,2.5,2.515,0.5113,21.442,21.152,21.146,0.29,31.807,0.029,0.027,0.032,15
114,2,9,4,114,0,2.373,2.3,2.373,0.5016,21.839,21.513,21.506,0.326,30.194,0.033,0.03,0.035,15
115,2,9,3,115,0,2.376,2.3,2.376,0.5056,22.123,21.663,21.651,0.46,30.577,0.03,0.027,0.032,15
116,2,9,2,116,0,2.477,2.4,2.477,0.5148,22.124,21.553,21.547,0.571,31.735,0.035,0.042,0.056,15
117,2,9,1,117,0,2.553,2.5,2.553,0.5124,21.479,21.169,21.166,0.31,32.098,0.029,0.027,0.03,15
118,2,10,13,118,0,2.273,2.2,2.273,0.525,21.793,21.272,21.271,0.521,31.404,0.03,0.029,0.033,15
119,2,10,12,119,0,2.317,2.3,2.317,0.518,21.549,21.031,21.031,0.518,31.734,0.032,0.029,0.033,15
120,2,10,11,120,0,2.304,2.3,2.304,0.4982,21.392,21.098,21.096,0.294,31.627,0.03,0.029,0.033,15
121,2,10,10,121,0,2.254,2.2,2.254,0.5084,21.591,21.137,21.137,0.454,31.44,0.03,0.03,0.035,15
122,2,10,9,122,0,2.231,2.2,2.231,0.5058,21.624,21.163,21.161,0.461,31.497,0.03,0.029,0.033,15
123,2,10,8,123,0,2.293,2.2,2.293,0.5012,21.878,21.466,21.465,0.412,31.511,0.03,0.035,0.044,15
124,2,10,6,125,0,2.314,2.3,2.314,0.5026,21.585,21.101,21.102,0.484,31.523,0.032,0.029,0.033,15
125,2,10,5,126,0,2.271,2.2,2.271,0.5065,21.516,21.112,21.111,0.404,31.306,0.032,0.03,0.035,15
126,2,10,4,127,0,2.357,2.3,2.357,0.525,21.871,21.428,21.418,0.443,30.268,0.033,0.03,0.035,15
127,2,10,3,128,0,2.355,2.3,2.355,0.5111,21.906,21.388,21.381,0.518,31.028,0.032,0.035,0.042,15
128,2,10,2,129,0,2.304,2.3,2.304,0.5028,21.74,21.357,21.35,0.383,30.637,0.032,0.03,0.035,15
129,2,10,1,130,0,0.003,0,0.003,0.5006,21.794,21.428,21.424,0.366,49.998,0,0,0.001,15
130,2,11,13,131,0,2.374,2.3,2.374,0.5293,21.673,21.03,21.028,0.643,31.156,0.033,0.032,0.035,15
131,2,11,12,132,0,2.284,2.2,2.284,0.5275,21.66,20.986,20.988,0.674,31.514,0.032,0.03,0.038,15
132,2,11,11,133,0,2.302,2.3,2.302,0.4994,21.218,20.933,20.934,0.285,31.398,0.033,0.03,0.035,15
133,2,11,10,134,0,2.357,2.3,2.357,0.5361,21.529,20.916,20.912,0.613,31.574,0.032,0.03,0.033,15
134,1,11,9,135,0,2.351,2.3,2.351,0.5189,21.278,20.859,20.859,0.419,31.657,0.033,0.036,0.047,15
135,2,11,8,136,0,0.003,0,0.003,0.5558,21.202,20.849,20.852,0.353,49.998,0.006,0.015,0.027,15
136,1,11,7,137,0,2.311,2.3,2.311,0.5047,21.381,20.881,20.88,0.5,31.309,0.032,0.03,0.033,15
137,2,11,6,138,0,2.327,2.3,2.327,0.5019,21.315,20.936,20.934,0.379,31.46,0.032,0.03,0.033,15
138,2,11,5,139,0,2.35,2.3,2.35,0.5065,21.359,20.927,20.926,0.432,31.66,0.032,0.03,0.033,15
139,2,11,4,140,0,2.338,2.3,2.338,0.519,21.656,20.978,20.978,0.678,31.48,0.032,0.03,0.033,15
140,2,11,3,141,0,2.378,2.3,2.378,0.5032,21.32,20.957,20.956,0.363,31.436,0.032,0.03,0.035,15
141,2,11,2,142,0,2.359,2.3,2.359,0.5012,21.199,20.948,20.948,0.251,31.515,0.03,0.029,0.033,15
142,2,11,1,143,0,0.003,0,0.003,0.4983,21.235,20.948,20.946,0.287,49.998,0,0,0.001,15
143,2,12,13,144,0,2.256,2.2,2.256,0.5122,21.564,21.076,21.078,0.488,31.392,0.03,0.029,0.033,15
144,2,12,12,145,0,2.301,2.3,2.301,0.5187,21.748,21.196,21.196,0.552,31.699,0.029,0.027,0.03,15
145,2,12,11,146,0,2.271,2.2,2.271,0.5029,21.564,21.237,21.232,0.327,31.865,0.027,0.026,0.029,15
146,2,12,10,147,0,2.346,2.3,2.346,0.522,21.928,21.372,21.367,0.556,32.754,0.029,0.033,0.042,15
147,2,12,9,148,0,0.003,0,0.003,0.4963,21.693,21.421,21.409,0.272,49.998,0.016,0.044,0.073,15
148,2,12,8,149,0,2.256,2.2,2.256,0.5044,21.711,21.271,21.268,0.44,30.841,0.035,0.038,0.047,15
149,2,12,7,150,0,2.276,2.2,2.276,0.5355,21.71,21.165,21.162,0.545,31.95,0.03,0.036,0.047,15
150,2,12,6,151,0,2.235,2.2,2.235,0.5017,21.512,21.092,21.092,0.42,31.357,0.029,0.027,0.03,15
151,2,12,5,152,0,2.284,2.2,2.284,0.5216,21.59,21.036,21.033,0.554,31.758,0.03,0.027,0.03,15
152,2,12,4,153,0,2.271,2.2,2.271,0.5041,21.452,21.022,21.022,0.43,31.499,0.03,0.029,0.032,15
153,2,12,3,154,0,2.239,2.2,2.239,0.5236,21.585,20.991,20.989,0.594,31.094,0.032,0.03,0.033,15
154,2,12,2,155,0,2.199,2.1,2.199,0.5101,21.399,20.955,20.956,0.444,31.436,0.03,0.029,0.032,15
155,2,12,1,156,0,2.239,2.2,2.239,0.515,21.6,20.98,20.98,0.62,31.919,0.039,0.055,0.078,15
156,2,13,13,157,0,2.292,2.2,2.292,0.5071,21.837,21.375,21.37,0.462,31.483,0.029,0.027,0.03,15
157,2,13,12,158,0,2.324,2.3,2.324,0.5017,21.761,21.436,21.428,0.325,31.808,0.027,0.026,0.029,15
158,2,13,11,159,0,2.33,2.3,2.33,0.538,21.787,21.173,21.171,0.614,31.79,0.032,0.032,0.036,15
159,2,13,10,160,0,2.287,2.2,2.287,0.5071,21.695,21.198,21.199,0.497,31.407,0.07,0.13,0.195,15
160,2,13,9,161,0,2.266,2.2,2.266,0.5343,21.855,21.283,21.283,0.572,31.594,0.029,0.029,0.035,15
161,2,13,8,162,0,2.27,2.2,2.27,0.5034,21.754,21.347,21.344,0.407,31.627,0.029,0.027,0.03,15
